ID,Brand,Category,Sub_category,Sub_Sub_Category,Product_Name,SKU,Price,Offer_Price,Description,Product_Id,Image1,Image2,image3,image4,image5,,,
50,Lidl,Daily Deals,Health & Beauty,Shower Gel/ Soap/Bath ,Moisture Rich Herbal Shower Gel   250ml,72439,1.39,0.99,Please see photos for Allergy and Nutritional information.,1664475,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72439/345804_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72439/345805_orig.jpg,,,,,,
51,Lidl,Daily Deals,Health & Beauty,Shower Gel/ Soap/Bath ,Refreshing Herbal Shower Gel   250ml,72438,1.39,0.99,Please see photos for Allergy and Nutritional information.,1664414,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72438/345802_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72438/345803_orig.jpg,,,,,,
52,Lidl,Daily Deals,Health & Beauty,Shower Gel/ Soap/Bath ,Lime Shower Gel   250ml,227201,1.39,0.99,Please see photos for Allergy and Nutritional information.,1664536,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/227201/404026_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/227201/404027_orig.jpg,,,,,,
53,Lidl,Daily Deals,Health & Beauty,Shower Gel/ Soap/Bath ,Lemon Shower Gel   250ml,227202,1.39,0.99,Please see photos for Allergy and Nutritional information.,1664597,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/227202/404028_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/227202/404029_orig.jpg,,,,,,
54,Lidl,Daily Deals,Health & Beauty,Shower Gel/ Soap/Bath ,Mint & Tea Tree Shower Gel   250ml,227203,1.39,0.99,Please see photos for Allergy and Nutritional information.,1664658,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/227203/404030_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/227203/404031_orig.jpg,,,,,,
55,Lidl,Daily Deals,Health & Beauty,Shower Gel/ Soap/Bath ,Active Herbal Shower Gel   250ml,72440,1.39,0.99,Please see photos for Allergy and Nutritional information.,1664353,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72440/345800_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72440/345801_orig.jpg,,,,,,
56,Lidl,Daily Deals,Health & Beauty,Dental Care/Shave,Max White & Protect Toothpaste 75ml,87831,3.19,2.69,Please see photos for Allergy and Nutritional information.,646757,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/87831/411621_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/87831/403337_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/87831/403338_orig.jpg,,,,,
57,Lidl,Daily Deals,Household,Washing Detergent/Cleaning ,White Fabric Stain Remover   1kg,72510,2.99,2.49,Please see photos for Allergy and Nutritional information.,1663743,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72510/398441_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72510/398442_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72510/398443_orig.jpg,,,,,
58,Lidl,Daily Deals,Household,Washing Detergent/Cleaning ,3-in-1 Bio Liquid Caps  20 Piece,220651,4.29,3.19,Please see photos for Allergy and Nutritional information.,1484083,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/220651/397288_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/220651/397289_orig.jpg,,,,,,
59,Lidl,Daily Deals,Household,Washing Detergent/Cleaning ,Colour Fabric Stain Remover   1kg,72509,2.99,2.49,Please see photos for Allergy and Nutritional information.,1663682,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72509/398444_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72509/398445_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72509/398446_orig.jpg,,,,,
